task_type,blind_id,annotator,correctness,completeness,clarity,hallucination_present,groundedness,notes
quality,Q-711BE5C6D784,carlos,2,2,2,0,,
quality,Q-711BE5C6D784,wilson,2,2,2,0,,
quality,Q-7327D2E6CDB0,carlos,2,1,1,0,,
quality,Q-7327D2E6CDB0,matheus,2,1,1,0,,
quality,Q-76BF8BDBA3D0,matheus,2,2,2,0,,
quality,Q-76BF8BDBA3D0,wilson,2,2,2,0,,
quality,Q-7C313B58852E,gabriela,2,2,2,0,,
quality,Q-7C313B58852E,yann,2,2,2,0,,
quality,Q-83BA44740E87,matheus,2,2,2,0,,
quality,Q-83BA44740E87,wilson,2,2,2,0,,
quality,Q-872E12A625FB,gabriela,2,2,2,0,,
quality,Q-872E12A625FB,yann,2,2,2,0,,
quality,Q-8D6ADD578F52,carlos,2,2,2,0,,
quality,Q-8D6ADD578F52,gabriela,2,2,2,0,,
quality,Q-8F49FF7DFB8B,carlos,2,2,2,0,,
quality,Q-8F49FF7DFB8B,matheus,2,2,2,0,,
quality,Q-8FEBA928D81F,matheus,2,2,2,0,,
quality,Q-8FEBA928D81F,yann,2,2,2,0,,
quality,Q-9560DDF5B47D,wilson,2,2,2,0,,
quality,Q-9560DDF5B47D,yann,2,2,2,0,,
quality,Q-975C3CB23678,matheus,2,2,2,0,,
quality,Q-975C3CB23678,yann,2,2,2,0,,
quality,Q-9838169810D2,wilson,1,1,1,0,,Resposta parcialmente relevante
quality,Q-9838169810D2,yann,1,1,1,0,,Resposta parcialmente relevante
quality,Q-9960A51D0D93,carlos,2,2,2,0,,
quality,Q-9960A51D0D93,matheus,2,2,2,0,,
quality,Q-9A53D82CABCC,carlos,2,2,2,0,,
quality,Q-9A53D82CABCC,wilson,2,2,2,0,,
quality,Q-9AA8FA6B49C9,carlos,2,2,2,0,,
quality,Q-9AA8FA6B49C9,gabriela,2,2,2,0,,
quality,Q-9C9CBE57A663,gabriela,2,2,2,0,,
quality,Q-9C9CBE57A663,yann,2,2,2,0,,
quality,Q-A049362A5634,matheus,2,2,2,0,,
quality,Q-A049362A5634,yann,2,2,2,0,,
quality,Q-A3E9A5B8B876,carlos,2,2,2,0,,
quality,Q-A3E9A5B8B876,gabriela,2,2,2,0,,
quality,Q-A8DB5CE851E4,carlos,2,2,2,0,,
quality,Q-A8DB5CE851E4,wilson,2,2,2,0,,
quality,Q-A95180AB8472,carlos,2,2,2,0,,
quality,Q-A95180AB8472,matheus,2,2,2,0,,
quality,Q-ABA88B34C8B3,wilson,2,2,2,0,,
quality,Q-ABA88B34C8B3,yann,2,2,2,0,,
quality,Q-ACF5289F4A7D,gabriela,2,2,2,0,,
quality,Q-ACF5289F4A7D,yann,2,2,2,0,,
quality,Q-AED893ED48AA,carlos,2,2,2,0,,
quality,Q-AED893ED48AA,gabriela,2,2,2,0,,
quality,Q-B49DF875AFF1,gabriela,2,2,2,0,,
quality,Q-B49DF875AFF1,yann,2,2,2,0,,
quality,Q-B92F5F0E1079,gabriela,2,2,2,0,,
quality,Q-B92F5F0E1079,matheus,2,2,2,0,,
quality,Q-B99BBE679C06,wilson,2,2,2,0,,
quality,Q-B99BBE679C06,yann,2,2,2,0,,
quality,Q-C29FD2F6987B,matheus,2,1,1,0,,
quality,Q-C29FD2F6987B,yann,2,1,1,0,,
quality,Q-C2D849900772,matheus,2,2,2,0,,
quality,Q-C2D849900772,wilson,2,2,2,0,,
quality,Q-C96D40D81F6D,carlos,2,2,2,0,,
quality,Q-C96D40D81F6D,yann,2,2,2,0,,
quality,Q-CA1895AC637D,wilson,2,2,2,0,,
quality,Q-CA1895AC637D,yann,2,2,2,0,,
quality,Q-CE3BCD6B1C7E,carlos,2,2,2,0,,
quality,Q-CE3BCD6B1C7E,yann,2,2,2,0,,
quality,Q-D133442B7542,wilson,2,2,2,0,,
quality,Q-D133442B7542,yann,2,2,2,0,,
quality,Q-D151D3156026,gabriela,2,1,1,0,,
quality,Q-D151D3156026,wilson,2,1,1,0,,
quality,Q-D1A979F5ED7E,matheus,2,2,2,0,,
quality,Q-D1A979F5ED7E,yann,2,2,2,0,,
quality,Q-D740A6893EE9,matheus,2,2,2,0,,
quality,Q-D740A6893EE9,wilson,2,2,2,0,,
quality,Q-D802BC59BB6D,carlos,2,2,2,0,,
quality,Q-D802BC59BB6D,matheus,2,2,2,0,,
quality,Q-DD5FF96CF5A8,gabriela,2,2,2,0,,
quality,Q-DD5FF96CF5A8,wilson,2,2,2,0,,
quality,Q-E34B11436F2E,carlos,2,2,2,0,,
quality,Q-E34B11436F2E,yann,2,2,2,0,,
quality,Q-E6267F75081B,carlos,2,2,2,0,,
quality,Q-E6267F75081B,wilson,2,2,2,0,,
quality,Q-ED2671E6BAF7,matheus,2,2,2,0,,
quality,Q-ED2671E6BAF7,yann,2,2,2,0,,
quality,Q-EF2A3A8CB87F,gabriela,1,1,1,0,,Resposta parcialmente relevante
quality,Q-EF2A3A8CB87F,wilson,1,1,1,0,,Resposta parcialmente relevante
quality,Q-F1C70D5AA944,matheus,2,2,2,0,,
quality,Q-F1C70D5AA944,wilson,2,2,2,0,,
quality,Q-F416D933AEA4,gabriela,2,2,2,0,,
quality,Q-F416D933AEA4,matheus,2,2,2,0,,
quality,Q-F56A25442073,carlos,2,2,2,0,,
quality,Q-F56A25442073,gabriela,2,2,2,0,,
quality,Q-F6F666818E89,gabriela,2,2,2,0,,
quality,Q-F6F666818E89,yann,2,2,2,0,,
quality,Q-F7DFC52DF857,gabriela,2,2,2,0,,
quality,Q-F7DFC52DF857,yann,2,2,2,0,,
quality,Q-F842B34A75B9,gabriela,2,2,2,0,,
quality,Q-F842B34A75B9,wilson,2,2,2,0,,
quality,Q-FB2766601CA3,carlos,2,2,2,0,,
quality,Q-FB2766601CA3,gabriela,2,2,2,0,,
quality,Q-FDDE0E64709E,carlos,2,2,2,0,,
quality,Q-FDDE0E64709E,wilson,2,2,2,0,,
