task_type,blind_id,query_id,condition,correctness,completeness,clarity,hallucination_present,groundedness
quality,Q-3825314E3E3C,q29,no_rag,2,2,2,0,
quality,Q-4074347692CF,q02,semantic,2,2,2,0,
quality,Q-48811E0C5A7D,q28,no_rag,2,2,2,0,
quality,Q-4DFBCDB76B6C,q17,optimized,2,2,2,0,
quality,Q-559400844B21,q30,no_rag,2,2,2,0,
quality,Q-586CF9555252,q16,semantic,2,2,2,0,
quality,Q-599612CE1BCB,q22,semantic,2,2,2,0,
quality,Q-5A74211B8773,q01,no_rag,2,2,2,0,
quality,Q-5B31C18CCB79,q05,no_rag,2,2,2,0,
quality,Q-5BC009AA8022,q16,no_rag,2,2,2,0,
quality,Q-5CDBAD918209,q06,no_rag,2,2,2,0,
quality,Q-5FFDFB1AEDED,q22,optimized,2,2,2,0,
quality,Q-60DBEC22FA4E,q17,semantic,2,2,2,0,
quality,Q-6351496AEABA,q17,no_rag,2,1,1,0,
quality,Q-63C668B6E5F8,q13,no_rag,1,1,1,0,
quality,Q-65B67B8AC287,q15,optimized,2,2,2,0,
quality,Q-6625991C35A9,q01,semantic,2,2,2,0,
quality,Q-68D222E86562,q18,optimized,0,0,1,0,
quality,Q-6938EB9F4A6F,q11,no_rag,2,2,2,0,
quality,Q-711BE5C6D784,q04,optimized,2,2,2,0,
quality,Q-7327D2E6CDB0,q18,no_rag,2,1,1,0,
quality,Q-76BF8BDBA3D0,q30,optimized,2,2,2,0,
quality,Q-7C313B58852E,q11,optimized,2,2,2,0,
quality,Q-83BA44740E87,q29,semantic,2,2,2,0,
quality,Q-872E12A625FB,q02,optimized,2,2,2,0,
quality,Q-8D6ADD578F52,q24,optimized,2,2,2,0,
quality,Q-8F49FF7DFB8B,q24,no_rag,2,2,2,0,
quality,Q-8FEBA928D81F,q12,semantic,2,2,2,0,
quality,Q-9560DDF5B47D,q20,semantic,2,2,2,0,
quality,Q-975C3CB23678,q12,optimized,2,2,2,0,
quality,Q-9838169810D2,q10,no_rag,1,1,1,0,
quality,Q-9960A51D0D93,q09,optimized,2,2,2,0,
quality,Q-9A53D82CABCC,q04,no_rag,2,2,2,0,
quality,Q-9AA8FA6B49C9,q26,semantic,2,2,2,0,
quality,Q-9C9CBE57A663,q23,no_rag,2,2,2,0,
quality,Q-A049362A5634,q06,optimized,2,2,2,0,
quality,Q-A3E9A5B8B876,q28,optimized,2,2,2,0,
quality,Q-A8DB5CE851E4,q10,semantic,2,2,2,0,
quality,Q-A95180AB8472,q06,semantic,2,2,2,0,
quality,Q-ABA88B34C8B3,q25,semantic,2,2,2,0,
quality,Q-ACF5289F4A7D,q27,no_rag,2,2,2,0,
quality,Q-AED893ED48AA,q08,optimized,2,2,2,0,
quality,Q-B49DF875AFF1,q14,semantic,2,2,2,0,
quality,Q-B92F5F0E1079,q15,no_rag,2,2,2,0,
quality,Q-B99BBE679C06,q19,no_rag,2,2,2,0,
quality,Q-C29FD2F6987B,q18,semantic,2,1,1,0,
quality,Q-C2D849900772,q05,semantic,2,2,2,0,
quality,Q-C96D40D81F6D,q10,optimized,2,2,2,0,
quality,Q-CA1895AC637D,q09,no_rag,2,2,2,0,
quality,Q-CE3BCD6B1C7E,q09,semantic,2,2,2,0,
quality,Q-D133442B7542,q26,no_rag,2,2,2,0,
quality,Q-D151D3156026,q25,no_rag,2,1,1,0,
quality,Q-D1A979F5ED7E,q13,semantic,2,2,2,0,
quality,Q-D740A6893EE9,q01,optimized,2,2,2,0,
quality,Q-D802BC59BB6D,q03,optimized,2,2,2,0,
quality,Q-DD5FF96CF5A8,q19,optimized,2,2,2,0,
quality,Q-E34B11436F2E,q25,optimized,2,2,2,0,
quality,Q-E6267F75081B,q28,semantic,2,2,2,0,
quality,Q-ED2671E6BAF7,q29,optimized,2,2,2,0,
quality,Q-EF2A3A8CB87F,q24,semantic,1,1,1,0,
quality,Q-F1C70D5AA944,q04,semantic,2,2,2,0,
quality,Q-F416D933AEA4,q03,no_rag,2,2,2,0,
quality,Q-F56A25442073,q07,optimized,2,2,2,0,
quality,Q-F6F666818E89,q14,optimized,2,2,2,0,
quality,Q-F7DFC52DF857,q08,semantic,2,2,2,0,
quality,Q-F842B34A75B9,q26,optimized,2,2,2,0,
quality,Q-FB2766601CA3,q15,semantic,2,2,2,0,
quality,Q-FDDE0E64709E,q20,no_rag,2,2,2,0,
